Annual_Income,Employment_Length,Debt_to_Income,Credit_Score,Loan_Amount,Loan_Term,Home_Ownership,Default
33809.51,24,20.9,679.0,3400,36,MORTGAGE,0
135498.49,20,4.78,693.0,3200,36,RENT,1
33753.09,13,24.39,745.0,32400,36,MORTGAGE,1
69655.56,21,0.0,723.0,40400,36,RENT,0
41062.97,25,8.75,581.0,8600,36,RENT,0
57984.49,10,20.15,579.0,9400,60,RENT,0
70571.47,6,13.76,694.0,24500,60,MORTGAGE,0
70310.65,16,31.92,668.0,28200,36,MORTGAGE,0
73936.39,17,21.69,587.0,23500,36,RENT,0
134169.02,6,26.26,591.0,45300,36,RENT,0
75114.37,19,26.67,662.0,21400,60,RENT,1
52993.35,37,15.57,680.0,6200,36,MORTGAGE,0
96959.01,10,9.35,694.0,25000,36,MORTGAGE,0
108524.94,15,19.5,652.0,18100,36,RENT,0
32409.15,26,28.67,630.0,39900,36,RENT,0
80716.64,10,17.67,651.0,46900,36,OWN,0
85015.29,15,25.91,702.0,23800,36,RENT,1
51596.97,22,19.73,591.0,2300,36,RENT,0
119116.04,11,4.47,685.0,6200,36,MORTGAGE,0
55546.3,39,5.32,719.0,40700,60,MORTGAGE,0
63754.07,2,35.62,654.0,12100,36,RENT,0
54910.73,1,8.32,676.0,15600,36,MORTGAGE,0
60342.35,37,13.62,691.0,48500,36,RENT,0
34608.77,23,29.18,626.0,30200,36,RENT,0
29143.13,28,8.07,651.0,31900,36,MORTGAGE,0
132886.75,33,13.16,621.0,16000,36,MORTGAGE,0
39203.42,19,17.88,686.0,32300,60,MORTGAGE,0
36472.14,17,16.58,668.0,26200,36,RENT,0
20400.3,13,10.29,707.0,4000,60,MORTGAGE,0
43500.13,17,18.06,708.0,2800,36,OWN,0
30898.26,1,26.79,716.0,33500,60,MORTGAGE,0
136081.27,0,18.77,748.0,47400,36,RENT,0
99201.51,19,13.42,644.0,25200,60,RENT,1
42443.32,33,29.46,687.0,35000,36,MORTGAGE,0
184650.09,40,37.06,726.0,27300,60,MORTGAGE,0
97819.84,40,29.55,649.0,26400,36,MORTGAGE,0
50898.27,10,8.77,728.0,30600,36,RENT,0
17159.33,26,9.03,640.0,26000,60,RENT,0
188239.67,22,24.37,725.0,5000,36,MORTGAGE,0
29888.04,37,21.71,711.0,14700,36,MORTGAGE,0
26299.38,2,7.75,675.0,17600,60,RENT,0
99836.11,11,22.86,771.0,40700,36,MORTGAGE,0
202779.85,29,20.99,815.0,44600,36,MORTGAGE,0
119627.31,30,34.78,685.0,31800,60,MORTGAGE,0
79376.26,22,15.65,724.0,11100,60,MORTGAGE,0
80609.93,0,33.87,794.0,29500,36,MORTGAGE,0
91739.45,40,34.3,648.0,25700,60,MORTGAGE,0
87506.14,19,13.27,538.0,42300,36,RENT,0
68912.7,5,23.54,721.0,24200,60,MORTGAGE,0
63076.31,10,17.89,652.0,34000,36,MORTGAGE,0
58029.31,34,17.48,609.0,3400,36,OWN,0
41069.36,3,22.46,627.0,27400,36,MORTGAGE,1
52034.51,28,12.1,589.0,49000,60,RENT,0
25681.38,9,4.05,738.0,24300,36,MORTGAGE,0
57001.35,28,14.68,742.0,44900,60,MORTGAGE,1
36523.25,37,31.81,649.0,41700,36,RENT,0
34482.43,0,17.97,652.0,27000,60,RENT,0
65509.28,39,19.77,682.0,12100,36,RENT,0
120090.53,7,27.93,768.0,4300,60,RENT,0
94765.27,37,4.03,626.0,6800,60,RENT,0
27302.94,16,24.39,646.0,20500,36,OWN,0
36504.32,18,36.7,722.0,38500,36,RENT,1
95835.23,32,20.92,663.0,4500,60,RENT,0
36634.89,14,0.77,618.0,39300,60,MORTGAGE,0
53513.19,30,19.24,676.0,3300,36,MORTGAGE,0
78828.2,20,26.1,586.0,2500,36,MORTGAGE,0
36894.87,2,21.12,679.0,32800,36,MORTGAGE,0
63113.36,1,22.72,658.0,49600,60,RENT,0
30729.77,34,23.93,688.0,35400,36,MORTGAGE,0
44325.53,40,10.68,629.0,43100,36,MORTGAGE,0
70255.3,15,11.93,696.0,9000,60,MORTGAGE,1
26997.6,20,16.3,665.0,30100,36,MORTGAGE,0
74625.49,11,23.93,615.0,28400,36,MORTGAGE,0
59289.12,27,8.11,623.0,48100,60,RENT,0
78924.34,11,40.56,737.0,10600,60,MORTGAGE,0
66967.12,32,0.0,720.0,27500,60,MORTGAGE,0
118429.16,19,2.93,597.0,12300,36,RENT,0
63742.85,39,25.54,649.0,15400,36,MORTGAGE,0
48305.33,20,24.68,681.0,25300,36,MORTGAGE,0
63649.63,38,19.28,698.0,16400,60,MORTGAGE,0
78562.44,40,26.76,689.0,8800,36,RENT,0
61354.88,35,25.68,689.0,46400,36,MORTGAGE,0
61101.75,21,20.0,652.0,12900,60,MORTGAGE,0
42150.6,25,22.68,672.0,26400,36,MORTGAGE,0
42982.55,6,0.0,614.0,38500,60,MORTGAGE,0
29693.91,6,18.67,638.0,6500,36,RENT,0
143600.21,7,19.52,583.0,20500,36,MORTGAGE,0
32146.81,25,39.13,605.0,36100,36,RENT,1
42342.53,23,11.74,619.0,14400,36,MORTGAGE,0
41806.05,23,19.64,621.0,20700,36,MORTGAGE,1
93663.34,39,34.24,715.0,39000,60,MORTGAGE,0
51664.45,11,25.6,588.0,34900,36,MORTGAGE,0
111733.41,7,20.25,651.0,12700,60,MORTGAGE,1
42755.57,8,29.62,695.0,17700,60,MORTGAGE,0
68837.03,2,12.07,607.0,11100,36,MORTGAGE,0
39431.74,20,37.25,725.0,11500,36,RENT,0
175005.83,30,26.42,700.0,44700,60,RENT,0
33064.01,23,3.74,693.0,14700,36,MORTGAGE,0
69906.25,3,13.95,626.0,26500,36,OWN,0
82198.18,19,0.0,638.0,30500,36,MORTGAGE,0
73636.75,15,27.96,667.0,33400,60,RENT,0
54576.36,9,25.64,709.0,42500,36,MORTGAGE,0
56111.14,25,15.4,708.0,25300,36,MORTGAGE,0
61200.2,28,32.0,690.0,27500,36,MORTGAGE,0
55631.17,4,19.16,658.0,5000,36,MORTGAGE,1
96948.92,10,46.23,641.0,17500,36,MORTGAGE,0
180820.75,28,8.01,745.0,12900,36,MORTGAGE,0
45308.69,14,26.42,647.0,26200,60,RENT,0
30184.94,5,16.03,579.0,37300,36,RENT,0
57288.72,14,13.23,621.0,17400,36,RENT,0
217478.37,19,18.27,661.0,21200,60,MORTGAGE,0
40061.17,33,23.67,645.0,20500,36,OWN,0
135884.21,1,20.58,683.0,8600,36,MORTGAGE,0
138531.14,15,26.78,618.0,45800,36,MORTGAGE,0
45397.21,18,26.07,640.0,37500,60,MORTGAGE,0
79577.89,33,34.51,658.0,14900,36,MORTGAGE,0
135157.81,13,7.99,676.0,5300,60,RENT,0
49535.07,23,4.43,627.0,22100,60,MORTGAGE,0
54079.47,27,19.32,792.0,5000,36,RENT,0
44764.0,31,12.06,646.0,17700,36,RENT,0
36048.54,36,28.74,630.0,44700,60,MORTGAGE,0
43276.33,9,9.32,609.0,2800,36,MORTGAGE,0
32468.64,8,14.5,696.0,47700,36,MORTGAGE,1
60903.24,23,16.68,578.0,7400,60,MORTGAGE,0
40741.94,35,37.66,573.0,22900,36,MORTGAGE,0
67298.48,28,41.08,671.0,18400,36,MORTGAGE,0
27503.05,28,8.59,678.0,48800,36,RENT,0
70646.24,22,0.0,669.0,20800,36,MORTGAGE,0
90831.78,26,14.26,780.0,8700,36,OWN,0
22095.56,30,19.63,624.0,30200,36,MORTGAGE,0
72187.94,6,19.58,659.0,6500,36,MORTGAGE,1
110617.6,3,19.16,680.0,14500,36,RENT,0
32701.61,13,28.16,660.0,31800,36,MORTGAGE,1
138176.37,9,15.97,681.0,40100,36,MORTGAGE,0
73829.19,33,22.13,666.0,44700,36,MORTGAGE,0
42087.0,25,26.45,598.0,12100,36,MORTGAGE,0
58227.64,22,22.19,704.0,26800,36,MORTGAGE,0
79155.02,8,26.76,725.0,11400,36,RENT,0
62193.31,36,2.92,647.0,40800,36,RENT,0
78384.23,7,21.14,673.0,27600,36,RENT,0
37784.84,13,22.3,739.0,12100,36,MORTGAGE,0
65165.17,6,18.34,634.0,23200,60,MORTGAGE,0
29529.43,6,14.02,666.0,3200,36,MORTGAGE,0
56635.26,8,24.61,674.0,22000,60,RENT,1
38102.92,2,21.23,741.0,13000,36,MORTGAGE,0
41449.66,13,19.47,756.0,13200,36,RENT,0
111084.52,16,16.72,722.0,22000,36,OWN,0
103327.11,21,17.11,850.0,15300,36,MORTGAGE,0
81191.76,25,12.35,678.0,31000,36,RENT,0
34677.41,27,15.24,436.0,24000,60,RENT,0
51113.08,13,10.61,641.0,23400,60,MORTGAGE,0
109814.61,8,16.13,660.0,44100,36,RENT,0
64270.66,25,23.64,749.0,5700,60,MORTGAGE,0
190930.5,1,28.2,684.0,31700,36,RENT,0
72886.51,10,19.49,740.0,22900,36,MORTGAGE,0
65908.62,16,19.21,712.0,18400,60,MORTGAGE,1
51299.78,33,21.44,682.0,21900,36,MORTGAGE,0
64008.45,18,29.83,692.0,18700,36,RENT,0
55479.29,38,17.75,683.0,23400,36,RENT,0
85310.63,17,24.63,734.0,41900,36,MORTGAGE,0
96601.66,12,23.71,667.0,42200,36,RENT,0
40416.98,4,13.76,643.0,42500,36,RENT,0
30772.71,22,27.07,677.0,26700,36,MORTGAGE,0
23906.3,23,0.0,661.0,9500,36,MORTGAGE,0
77187.72,28,30.62,665.0,19000,36,RENT,0
34486.27,7,8.06,768.0,11700,36,MORTGAGE,0
20405.4,25,18.61,684.0,35400,36,MORTGAGE,0
72714.01,14,28.29,646.0,49600,36,RENT,0
208251.08,0,15.73,725.0,49600,36,MORTGAGE,0
59692.67,27,22.34,623.0,28600,36,MORTGAGE,0
91057.4,13,28.45,621.0,29900,60,RENT,0
62374.68,33,38.48,711.0,13000,36,RENT,0
56985.67,30,19.85,626.0,38400,60,RENT,0
94801.28,5,21.8,681.0,44500,60,OWN,0
51785.36,4,20.4,615.0,45200,60,MORTGAGE,0
68438.87,30,17.79,658.0,35500,60,OWN,0
70322.63,36,6.54,652.0,11700,60,MORTGAGE,0
42871.17,14,8.79,659.0,13500,36,RENT,1
98323.78,14,19.86,795.0,37900,60,RENT,0
54858.92,4,23.41,732.0,46200,36,MORTGAGE,0
41032.82,27,32.61,657.0,5700,36,RENT,1
78296.24,32,17.9,665.0,2700,36,RENT,1
38206.69,10,35.29,626.0,45500,36,RENT,0
60723.77,5,7.95,618.0,48300,36,MORTGAGE,0
59601.77,22,22.1,662.0,10700,60,RENT,1
103047.75,39,17.33,747.0,21200,36,OWN,0
75913.45,1,6.87,517.0,4800,36,MORTGAGE,0
59129.58,14,3.07,721.0,47700,36,RENT,0
90118.72,22,15.65,736.0,41400,36,MORTGAGE,0
119982.81,21,16.4,577.0,22400,36,MORTGAGE,0
79134.57,8,11.12,677.0,29700,36,MORTGAGE,0
60184.87,39,27.62,648.0,19700,36,RENT,1
31072.61,29,15.94,649.0,45600,36,RENT,0
35152.22,15,10.13,670.0,25900,36,MORTGAGE,0
51399.7,29,17.64,683.0,42900,60,RENT,0
44145.4,8,13.69,595.0,30000,36,RENT,0
54530.44,0,36.47,749.0,22000,36,RENT,0
61594.32,37,16.85,647.0,34100,36,MORTGAGE,0
78029.82,7,10.82,807.0,10500,36,MORTGAGE,0
57800.38,17,36.45,622.0,1000,36,RENT,1
76362.79,26,27.25,622.0,10600,36,RENT,1
61835.77,17,21.06,687.0,11200,36,RENT,0
22298.32,31,12.04,695.0,3200,36,MORTGAGE,0
37433.91,31,27.67,724.0,40800,36,MORTGAGE,0
55712.3,35,5.37,619.0,49100,36,MORTGAGE,0
32700.73,35,26.93,641.0,45000,60,RENT,0
80818.76,20,22.5,769.0,34900,36,OWN,0
128717.51,31,29.9,667.0,18500,60,MORTGAGE,0
110126.05,30,0.0,727.0,47000,36,MORTGAGE,0
53813.44,36,10.79,573.0,43900,36,MORTGAGE,0
126167.17,15,10.0,604.0,25400,36,RENT,0
64494.4,13,8.82,720.0,26600,36,MORTGAGE,1
50587.36,23,24.25,659.0,17000,36,RENT,1
44059.61,24,17.05,702.0,41800,60,RENT,0
51470.55,34,11.29,636.0,33000,60,RENT,0
49311.45,16,8.97,583.0,4500,60,MORTGAGE,0
65199.57,3,10.39,676.0,13700,36,OWN,0
64879.5,10,28.66,602.0,27200,36,RENT,1
59965.4,14,19.33,676.0,46900,36,OWN,0
74493.64,29,28.31,626.0,15000,36,MORTGAGE,0
108588.76,23,46.65,715.0,16300,36,MORTGAGE,0
96257.01,1,19.82,666.0,20700,60,RENT,0
28496.91,33,5.83,640.0,2500,36,RENT,0
16697.92,22,18.63,662.0,49900,36,MORTGAGE,0
95526.59,30,38.79,726.0,24300,36,OWN,0
30229.11,36,30.87,665.0,33900,36,MORTGAGE,0
53509.65,12,13.54,757.0,45900,36,MORTGAGE,0
33354.35,32,16.96,745.0,35300,36,MORTGAGE,0
24318.92,6,27.75,617.0,47100,36,MORTGAGE,0
78490.38,31,24.8,620.0,1100,60,MORTGAGE,0
87516.06,6,27.86,616.0,23100,36,MORTGAGE,0
44879.88,37,17.61,754.0,27700,36,RENT,0
16390.86,12,23.89,583.0,38600,36,OWN,0
45564.21,23,16.95,645.0,15500,60,RENT,0
72831.37,27,33.93,674.0,8900,60,MORTGAGE,1
28582.34,31,4.74,744.0,39900,36,RENT,0
65622.9,17,4.77,606.0,22800,60,RENT,0
59417.56,33,12.85,724.0,29800,36,RENT,0
79989.11,33,13.22,676.0,31600,60,RENT,0
63563.21,37,4.73,665.0,6200,60,MORTGAGE,1
36807.82,0,2.93,659.0,21300,60,OWN,0
108910.94,30,30.69,647.0,5800,36,MORTGAGE,0
55311.45,0,18.33,648.0,48800,36,RENT,0
59062.28,15,17.57,634.0,16200,36,RENT,0
37547.65,38,20.56,595.0,38400,36,MORTGAGE,0
47971.33,14,35.98,607.0,23400,36,RENT,0
38468.64,32,21.16,720.0,17000,36,MORTGAGE,0
54914.18,22,18.89,651.0,16900,36,MORTGAGE,0
140906.84,40,13.62,721.0,22300,60,MORTGAGE,0
30153.29,33,25.99,647.0,46300,60,MORTGAGE,1
26721.38,16,19.36,644.0,2600,60,OWN,0
124939.53,24,36.52,681.0,24200,36,MORTGAGE,0
53924.39,5,18.39,704.0,27600,36,OWN,0
42850.12,30,30.08,629.0,26200,36,MORTGAGE,1
100705.16,4,12.89,673.0,18800,36,RENT,0
44231.49,39,12.79,709.0,49100,60,MORTGAGE,0
149194.31,39,1.73,742.0,18700,36,RENT,0
84032.84,29,27.94,751.0,39900,36,MORTGAGE,0
46912.73,4,19.62,617.0,48400,60,RENT,1
176073.03,11,26.4,660.0,30400,36,RENT,0
44229.29,6,36.96,654.0,34400,36,MORTGAGE,0
86772.73,12,11.53,612.0,49100,36,OWN,0
69539.23,3,10.02,717.0,8800,36,RENT,0
114791.26,2,12.13,697.0,33200,60,MORTGAGE,0
130712.51,11,0.0,678.0,37300,60,MORTGAGE,0
60839.96,0,18.07,722.0,44700,36,OWN,0
41080.59,26,28.84,625.0,12700,36,MORTGAGE,0
75356.55,12,20.49,731.0,33900,36,OWN,0
42665.35,16,4.29,750.0,9900,60,OWN,0
163847.86,7,16.43,706.0,19400,36,OWN,0
64104.36,31,21.25,671.0,9800,60,MORTGAGE,1
49878.2,19,29.63,675.0,44000,36,RENT,0
65666.24,16,27.96,602.0,1000,60,MORTGAGE,0
30529.14,33,16.55,647.0,46200,60,MORTGAGE,0
36834.6,34,16.53,763.0,26000,60,OWN,0
109120.38,34,25.94,788.0,1800,60,MORTGAGE,0
43111.84,37,14.07,668.0,31300,36,MORTGAGE,0
35473.62,23,28.55,632.0,11000,60,RENT,0
78301.84,17,13.41,727.0,49400,36,MORTGAGE,1
108320.76,38,35.51,680.0,2400,60,MORTGAGE,1
85774.47,32,22.35,725.0,20900,36,RENT,0
98520.89,22,0.4,643.0,42200,36,MORTGAGE,0
41011.28,24,26.4,678.0,45000,60,RENT,0
29410.14,36,22.55,638.0,11700,36,MORTGAGE,0
126838.11,26,24.86,685.0,40300,60,RENT,1
50953.06,0,42.52,638.0,41400,36,MORTGAGE,0
52816.74,20,17.39,661.0,42900,36,MORTGAGE,0
116319.63,9,4.48,698.0,12700,36,OWN,0
79072.07,30,32.68,710.0,14300,60,OWN,0
75202.81,24,2.2,667.0,8900,36,MORTGAGE,1
176751.69,19,12.54,764.0,6200,60,MORTGAGE,0
43401.14,1,20.42,599.0,46400,36,RENT,0
95217.6,14,11.01,604.0,2800,36,RENT,0
61605.51,27,19.36,641.0,5100,36,RENT,0
68479.94,12,18.64,673.0,49000,36,MORTGAGE,0
128570.7,13,35.36,766.0,42500,36,MORTGAGE,0
77181.72,1,0.0,666.0,1600,36,MORTGAGE,1
78366.2,33,20.87,628.0,11300,36,MORTGAGE,0
102360.24,34,10.79,649.0,13800,60,RENT,0
49887.39,36,14.37,670.0,7200,60,RENT,0
39355.66,24,26.8,608.0,19600,36,MORTGAGE,0
35510.92,14,25.18,756.0,12800,36,MORTGAGE,0
22400.12,11,23.43,533.0,36400,36,MORTGAGE,0
167393.66,8,7.42,652.0,11400,36,MORTGAGE,0
34489.0,30,31.86,631.0,44200,36,OWN,0
53603.69,13,11.24,619.0,32200,36,RENT,0
52135.08,28,33.86,701.0,33000,36,RENT,0
69821.92,37,13.51,640.0,6600,60,RENT,0
90027.33,7,30.31,709.0,29100,36,RENT,1
92063.77,2,21.02,758.0,34700,36,RENT,0
44732.75,1,3.26,726.0,40200,36,RENT,0
55074.34,15,16.45,676.0,21300,36,RENT,0
68960.56,18,37.02,673.0,30800,36,RENT,0
52873.34,29,28.23,712.0,47800,36,RENT,0
133742.66,40,15.65,672.0,22100,36,RENT,0
76533.78,15,33.04,651.0,8400,36,MORTGAGE,0
86460.15,30,22.82,628.0,46300,36,RENT,0
83403.09,27,36.43,692.0,18600,36,MORTGAGE,0
107660.38,3,19.21,629.0,46500,60,RENT,0
65546.22,9,17.08,636.0,10400,36,MORTGAGE,0
31306.59,17,29.88,762.0,7800,60,MORTGAGE,0
73119.03,31,22.52,708.0,33700,36,MORTGAGE,0
43231.37,29,25.58,684.0,5700,36,MORTGAGE,0
45967.58,35,11.37,629.0,34400,36,RENT,0
80272.47,8,31.71,714.0,3000,36,MORTGAGE,0
111206.21,35,29.82,632.0,44300,60,OWN,0
60514.35,28,33.52,594.0,40600,36,RENT,0
69871.74,15,6.4,645.0,38400,36,MORTGAGE,1
140239.57,27,8.37,628.0,35800,60,RENT,1
67533.33,20,12.53,696.0,20500,36,MORTGAGE,0
219880.95,1,17.61,714.0,31400,36,MORTGAGE,0
79439.8,34,6.67,687.0,37500,60,MORTGAGE,0
24825.3,27,26.37,682.0,34800,36,RENT,0
87262.04,35,15.62,705.0,35900,60,RENT,0
72444.73,30,32.56,640.0,29500,36,RENT,0
114105.23,32,40.99,707.0,41400,36,OWN,0
83833.73,22,14.06,692.0,44700,60,RENT,0
55869.39,40,12.33,638.0,49400,60,MORTGAGE,0
32462.83,16,27.47,640.0,27900,60,MORTGAGE,0
53932.49,0,20.97,711.0,14300,36,MORTGAGE,0
39133.72,22,23.7,596.0,12300,36,MORTGAGE,0
44789.91,26,33.29,681.0,36800,60,RENT,0
80361.4,24,17.28,670.0,28200,36,RENT,0
137992.17,31,9.34,685.0,1100,60,RENT,0
72935.86,18,7.7,660.0,10600,60,RENT,0
32927.34,23,18.23,679.0,41000,60,MORTGAGE,1
74779.67,2,16.48,596.0,21200,36,RENT,0
108914.21,11,28.65,695.0,8500,36,RENT,0
44139.42,34,33.92,611.0,17800,60,RENT,1
55993.53,14,33.89,720.0,15300,60,MORTGAGE,0
60315.48,16,12.99,606.0,6800,60,RENT,0
40439.04,31,11.97,542.0,28000,60,RENT,1
82796.43,6,1.87,592.0,18100,36,MORTGAGE,0
56360.62,18,20.03,666.0,20900,36,RENT,0
73848.15,6,28.85,597.0,25700,60,RENT,0
38416.94,4,12.93,596.0,32200,36,MORTGAGE,0
48111.23,39,5.2,631.0,12900,36,MORTGAGE,0
85921.61,20,38.86,704.0,22500,60,OWN,0
49691.21,6,12.95,628.0,5900,60,OWN,0
141985.74,36,18.88,677.0,31100,36,MORTGAGE,0
49029.72,22,15.34,655.0,30900,36,RENT,0
66992.93,10,6.67,600.0,35600,60,MORTGAGE,0
95444.04,9,29.02,700.0,4900,60,RENT,0
29460.84,20,2.51,768.0,11800,36,OWN,0
24824.73,40,31.24,566.0,40100,60,MORTGAGE,0
27922.05,32,22.68,611.0,34300,36,MORTGAGE,0
112565.67,19,17.31,619.0,1100,36,MORTGAGE,0
45436.5,32,17.48,655.0,12900,60,MORTGAGE,0
215151.92,39,24.54,623.0,19700,36,MORTGAGE,0
45155.9,34,13.57,727.0,32400,36,RENT,0
65662.0,33,21.77,743.0,4100,36,MORTGAGE,0
129450.65,35,11.12,720.0,43600,36,OWN,0
163251.37,26,0.0,737.0,3600,36,RENT,0
167837.54,18,26.17,696.0,37100,36,OWN,0
109555.12,4,44.37,736.0,40200,60,MORTGAGE,0
99910.62,28,25.66,665.0,16200,36,MORTGAGE,0
80520.21,9,19.53,649.0,31100,60,MORTGAGE,0
88360.52,39,16.03,711.0,7100,36,OWN,0
45451.77,12,16.35,645.0,46700,36,RENT,0
39771.29,28,16.03,769.0,1500,60,MORTGAGE,0
59773.21,4,21.99,723.0,10500,36,MORTGAGE,0
54990.06,11,0.0,640.0,31200,36,RENT,0
47733.37,12,0.0,657.0,45500,60,OWN,0
84812.12,21,24.51,670.0,42500,60,MORTGAGE,0
96534.2,39,18.01,642.0,11900,36,MORTGAGE,0
62580.15,14,10.14,715.0,29200,36,OWN,0
125337.46,12,9.87,641.0,25500,60,RENT,0
33831.77,0,14.42,654.0,35500,36,RENT,1
54348.39,37,15.82,630.0,11400,36,RENT,0
41839.19,0,34.23,635.0,48200,36,RENT,0
23546.48,10,9.3,690.0,6700,36,RENT,0
57449.39,39,27.64,703.0,15400,60,MORTGAGE,0
56338.1,21,25.9,651.0,18400,36,RENT,1
127608.83,34,17.91,742.0,7300,36,OWN,0
82076.4,5,27.65,705.0,38200,36,MORTGAGE,0
35878.97,27,24.42,666.0,21000,36,RENT,1
151303.99,30,7.44,734.0,14800,36,MORTGAGE,0
110251.22,7,14.07,753.0,8200,60,RENT,0
80101.42,4,23.88,698.0,19600,60,RENT,0
53463.69,16,14.02,681.0,4500,60,MORTGAGE,0
37059.51,37,26.11,564.0,49900,36,MORTGAGE,0
49706.78,8,31.63,679.0,17900,36,OWN,1
103194.86,9,19.73,704.0,47500,36,MORTGAGE,0
153628.58,19,13.94,705.0,14900,60,MORTGAGE,0
129524.04,13,12.8,640.0,29700,36,MORTGAGE,0
46890.73,13,16.36,631.0,41100,60,MORTGAGE,0
34207.2,25,15.66,695.0,32700,60,MORTGAGE,0
64243.97,28,28.64,652.0,43300,60,RENT,0
24730.2,26,14.14,661.0,18200,36,RENT,0
70374.33,24,18.24,568.0,2800,36,OWN,1
55614.47,15,27.8,668.0,19700,60,RENT,0
47428.65,35,16.7,706.0,47900,36,RENT,0
26974.53,33,15.56,669.0,15300,60,OWN,0
77404.49,15,28.71,668.0,13300,60,MORTGAGE,0
45873.81,32,31.6,612.0,30300,36,OWN,0
33357.62,2,20.38,569.0,33000,36,RENT,0
14240.84,22,36.61,602.0,29000,60,MORTGAGE,1
59056.07,10,21.66,722.0,24700,60,MORTGAGE,0
145237.53,17,28.76,685.0,24300,36,MORTGAGE,1
137396.97,40,39.55,721.0,14600,60,RENT,0
47641.14,28,13.71,737.0,16700,36,RENT,0
44306.82,4,14.79,670.0,22400,36,MORTGAGE,0
75688.93,23,27.99,717.0,8900,36,MORTGAGE,1
36344.83,28,18.39,717.0,26500,36,MORTGAGE,0
69626.18,28,10.59,603.0,47700,60,MORTGAGE,0
87819.61,25,16.51,640.0,31100,60,RENT,0
110576.91,39,5.85,598.0,3500,36,MORTGAGE,0
56949.66,2,20.25,578.0,31500,60,MORTGAGE,0
54076.94,1,21.63,643.0,40700,36,RENT,0
38600.04,24,30.85,648.0,40600,36,RENT,0
39599.03,18,31.8,568.0,1300,60,MORTGAGE,0
53463.83,39,16.83,690.0,14100,36,RENT,0
71946.84,1,41.08,649.0,47600,36,MORTGAGE,0
94541.32,18,9.26,751.0,23800,60,RENT,0
40071.09,0,6.0,671.0,46400,36,MORTGAGE,0
126291.03,26,7.58,694.0,2700,36,OWN,0
52283.61,34,8.29,657.0,39000,36,OWN,0
59237.87,40,27.58,664.0,32300,60,OWN,0
41208.27,4,36.82,681.0,37600,60,MORTGAGE,1
17816.49,37,37.23,691.0,19100,36,RENT,0
93155.25,3,1.15,612.0,34500,60,MORTGAGE,0
86545.19,16,28.57,636.0,1900,60,MORTGAGE,0
52017.54,20,35.27,682.0,29700,36,MORTGAGE,0
61913.61,30,29.98,669.0,31400,36,RENT,0
77495.07,21,13.67,715.0,32700,36,RENT,1
27411.75,10,21.68,621.0,30600,36,RENT,0
45957.56,33,10.48,728.0,48800,36,MORTGAGE,1
89065.95,14,27.47,652.0,29000,36,OWN,1
31979.66,9,5.36,642.0,40700,60,MORTGAGE,0
69340.12,37,26.85,728.0,9500,36,MORTGAGE,0
30385.14,31,12.9,685.0,32300,60,MORTGAGE,0
75600.26,30,23.63,774.0,15100,36,RENT,0
58816.59,36,17.47,717.0,13700,36,RENT,0
26700.41,27,16.4,718.0,45800,60,MORTGAGE,1
107191.23,30,29.47,667.0,38100,36,OWN,0
41469.11,5,35.26,728.0,47900,60,MORTGAGE,0
39929.62,13,11.35,665.0,37400,60,RENT,0
66190.0,22,21.87,561.0,13700,60,RENT,0
106331.69,15,9.14,705.0,14200,36,MORTGAGE,0
36029.35,24,15.39,688.0,34100,60,RENT,1
61749.42,38,12.73,616.0,44600,36,MORTGAGE,1
74191.75,1,7.41,692.0,12500,60,MORTGAGE,0
84673.06,37,30.59,683.0,16200,36,MORTGAGE,0
65396.29,40,21.03,732.0,21400,36,RENT,0
49835.66,38,14.53,688.0,16900,60,RENT,0
39584.97,33,19.42,662.0,25400,36,RENT,0
62509.38,39,31.96,604.0,33700,60,MORTGAGE,0
35028.96,24,30.28,561.0,38100,36,MORTGAGE,1
13895.56,35,25.58,704.0,40200,36,MORTGAGE,0
74479.55,15,13.31,694.0,33600,36,RENT,0
94086.27,17,21.19,667.0,14200,36,MORTGAGE,0
18371.09,12,9.09,674.0,6100,36,MORTGAGE,1
36139.24,36,19.13,648.0,31900,36,MORTGAGE,0
81599.4,26,29.78,576.0,48200,36,OWN,0
167501.53,33,31.63,741.0,10500,36,MORTGAGE,0
60499.89,10,13.57,727.0,12500,36,MORTGAGE,0
41605.95,0,28.33,646.0,35000,36,MORTGAGE,0
54641.65,12,26.27,666.0,10800,60,MORTGAGE,1
119066.59,29,17.59,653.0,5500,60,RENT,0
43348.09,4,27.46,756.0,8100,60,RENT,0
40151.06,17,32.26,722.0,39600,36,MORTGAGE,0
47034.1,13,28.51,625.0,38500,36,MORTGAGE,0
37172.92,12,9.46,691.0,46500,36,MORTGAGE,0
63661.49,31,17.22,627.0,39900,60,RENT,0
134906.77,6,24.0,646.0,33800,36,RENT,0
70371.22,7,11.97,651.0,22800,36,RENT,0
52776.6,6,35.58,637.0,37400,60,OWN,0
51745.58,15,23.13,589.0,17400,60,RENT,0
27402.91,30,15.46,721.0,32800,60,OWN,0
93111.68,26,14.84,689.0,28600,36,MORTGAGE,0
57588.69,32,13.05,747.0,23300,36,RENT,0
54707.72,28,27.06,660.0,22900,36,RENT,0
295538.32,7,28.25,629.0,16000,36,RENT,0
69520.47,32,13.36,724.0,33500,36,RENT,0
41114.02,40,34.69,676.0,10700,36,OWN,0
48379.0,18,16.13,652.0,26500,36,MORTGAGE,0
106321.51,20,12.03,742.0,25300,60,RENT,0
